Opportunity.Id,Opportunity.Days.To.Close,Opportunity.Status,Industry,partnerFlag,PPG,Area,Opportunity.Size,Fee.Type,Deal.Type,Segment,Solution.Area,ClusteredArea,Standard.Offering.Type,Discount_percentage,Time-Period
7-OVSOAZVON,99,Lost,Banking & Capital Markets,Partner,Azure and Edge Infra,APAC,"750,056",FF,3,Commercial Enterprise,Applications & Infrastructure,APAC,Custom,28,P-19
7-OQGO3ZAUJ,40,Lost,Consumer Goods,No Partner,Dynamics 365 Operations,Western Europe,"853,184",T&M,5,Commercial Enterprise,Business Applications,Europe,Custom,17,P-13
7-OS2NOVZLM,99,Lost,Banking & Capital Markets,No Partner,Dynamics 365 Customer Engagement,United States,"120,351",FF,5,Commercial Enterprise,Business Applications,North America,Full MSO,60,P-28
7-NDKIW7KT4,230,Won,Defense & Intelligence,No Partner,On Prem Apps,United States,"206,199",T&M,5,Public Sector Enterprise,Applications & Infrastructure,North America,Custom,42,P-28
7-POZE63F4W,238,Lost,Defense & Intelligence,No Partner,EMS,APAC,"161,355",FF,4,Public Sector Enterprise,Modern Workplace,APAC,Custom,80,P-8
7-NU76WWIOE,400,Lost,National Government,No Partner,On Prem Security and Identity,United States,"455,812",FF,4,Public Sector Enterprise,Applications & Infrastructure,North America,Custom,58,P-19
7-OQXFWWRA2,209,Lost,Banking & Capital Markets,No Partner,Azure Data & AI,APAC,"259,211",FF,2,Commercial Enterprise,Data & AI,APAC,Mixed Custom/SO/MSO,23,P-21
7-MLQYHLFBS,135,Lost,Banking & Capital Markets,No Partner,Azure Security and Identity,APAC,"553,650",T&M,4,Commercial Enterprise,Applications & Infrastructure,APAC,Custom,72,P-9
7-L3XR5MBBG,178,Lost,Insurance,No Partner,Azure and Edge Apps,Japan,"412,433",FF,4,Commercial Enterprise,Applications & Infrastructure,APAC,Custom,75,P-27
7-M2OX5ZT6F,125,Won,Insurance,No Partner,O365 Cloud Productivity,Japan,"253,424",FF,5,Commercial Enterprise,Modern Workplace,APAC,Custom,41,P-9
7-M7LPOMMCR,112,Lost,Health Provider,No Partner,On Prem Security and Identity,United States,"504,165",Unknown,5,Commercial Enterprise,Applications & Infrastructure,North America,Mixed Custom/SO/MSO,31,P-17
7-NDCFGNAKA,152,Won,Health Provider,No Partner,On Prem Analytics,United States,"614,708",T&M,5,Commercial Enterprise,Data & AI,North America,Custom,4,P-18
7-POPTE4ORU,57,Lost,Energy,No Partner,Azure Security and Identity,United States,"598,993",T&M,4,Commercial Enterprise,Applications & Infrastructure,North America,Mixed Custom/SO/MSO,21,P-2
7-OHYVNBWFQ,67,Won,Energy,Partner,Azure Security and Identity,United States,"775,548",T&M,5,Commercial Enterprise,Applications & Infrastructure,North America,Custom,26,P-22
7-LQ6XOF3E4,165,Lost,Discrete Manufacturing,No Partner,O365 Cloud Productivity,Western Europe,"782,326",T&M,5,Commercial Enterprise,Modern Workplace,Europe,Custom,1,P-22
7-MCQFQXUDB,162,Won,Banking & Capital Markets,No Partner,Azure and Edge Infra,Australia,"576,918",FF,5,Strategic Enterprise,Applications & Infrastructure,APAC,Custom,11,P-16
7-OCVCBKEVO,148,Lost,Banking & Capital Markets,No Partner,EMS,Australia,"330,250",FF,3,Strategic Enterprise,Modern Workplace,APAC,Custom,89,P-1
7-MXVJ7OKOT,116,Won,National Government,No Partner,Azure and Edge Infra,Australia,"532,958",FF,4,Public Sector Enterprise,Applications & Infrastructure,APAC,Custom,19,P-27
7-M3W5MWRHR,268,Lost,National Government,No Partner,On Prem Apps,Australia,"363,976",FF,4,Public Sector Enterprise,Applications & Infrastructure,APAC,Custom,33,P-15
7-NMXOVDJC7,410,Lost,National Government,No Partner,On Prem Apps,Australia,"592,610",T&M,5,Public Sector Enterprise,Applications & Infrastructure,APAC,Custom,70,P-9
7-MFACLZXNN,132,Lost,Local Regional Government,No Partner,O365 Cloud Productivity,Australia,"347,188",FF,4,Public Sector Enterprise,Modern Workplace,APAC,Custom,30,P-25
7-OYBR4VMIG,65,Lost,Telecommunications,No Partner,On Prem Apps,India,"656,871",T&M,3,Strategic Enterprise,Applications & Infrastructure,APAC,Custom,29,P-1
7-PQI5ZFHZJ,63,Won,Chemicals & Agrochemicals,No Partner,O365 Cloud Productivity,Western Europe,"358,588",T&M,4,Commercial Enterprise,Modern Workplace,Europe,Custom,16,P-1
7-OZSLUGDVO,109,Won,Other - Unsegmented,No Partner,Azure and Edge Infra,Western Europe,"973,858",T&M,5,Strategic Enterprise,Applications & Infrastructure,Europe,Mixed Custom/SO/MSO,1,P-21
7-OJQJ66ZVD,344,Lost,Professional Services,No Partner,Azure Data & AI,Western Europe,"64,687",T&M,5,Strategic Enterprise,Data & AI,Europe,Custom,82,P-14
7-OKAKHKSZ7,102,Lost,Banking & Capital Markets,No Partner,Azure and Edge Infra,Western Europe,"791,295",Mixed,4,Strategic Enterprise,Applications & Infrastructure,Europe,Mixed Custom/SO/MSO,79,P-22
7-PTH3BT3WP,143,Lost,Telecommunications,No Partner,On Prem Apps,MEA,"392,669",T&M,4,Commercial Enterprise,Applications & Infrastructure,MEA,Custom,78,P-3
7-PISPIVRKW,42,Lost,Energy,No Partner,Azure and Edge Infra,Greater China,"378,022",T&M,4,Commercial Enterprise,Applications & Infrastructure,APAC,Custom,89,P-14
7-PAZ4HX4DZ,185,Won,Energy,No Partner,O365 Cloud Productivity,Greater China,"157,168",FF,4,Commercial Enterprise,Modern Workplace,APAC,Full SO,34,P-1
7-OHVDU6XWV,225,Won,Energy,No Partner,O365 Cloud Productivity,Greater China,"613,536",FF,3,Commercial Enterprise,Modern Workplace,APAC,Custom,63,P-28
7-O3VQNDH4Y,176,Lost,National Government,No Partner,O365 Cloud Productivity,MEA,"985,434",FF,3,Public Sector Enterprise,Modern Workplace,MEA,Mixed Custom/SO/MSO,55,P-3
7-NAYLUNTZA,233,Won,Travel & Transportation,No Partner,Azure and Edge Apps,Western Europe,"199,632",T&M,4,Commercial Enterprise,Applications & Infrastructure,Europe,Custom,39,P-18
7-LP6XUN4RI,88,Won,Travel & Transportation,No Partner,Azure Data & AI,Western Europe,"924,466",FF,4,Commercial Enterprise,Data & AI,Europe,Custom,29,P-14
7-NB6UVDY6O,56,Won,Retailers,No Partner,Dynamics 365 Operations,Western Europe,"883,265",T&M,5,Strategic Enterprise,Business Applications,Europe,Custom,74,P-13
7-OAV4EZIQC,239,Lost,Partner Professional Services,No Partner,O365 Cloud Productivity,India,"995,408",Unknown,5,Strategic Enterprise,Modern Workplace,APAC,Mixed Custom/SO/MSO,54,P-25
7-LM55XSNAE,160,Lost,Telecommunications,No Partner,Azure and Edge Apps,Japan,"637,345",FF,5,Commercial Enterprise,Applications & Infrastructure,APAC,Custom,45,P-16
7-LKLBLASIP,194,Lost,Partner Professional Services,No Partner,Azure Data & AI,Japan,"490,366",Unknown,5,Commercial Enterprise,Data & AI,APAC,Mixed Custom/SO/MSO,54,P-21
7-MY2GSJG6Z,94,Won,Other - Unsegmented,No Partner,Azure Data & AI,Australia,"906,602",FF,3,Public Sector Enterprise,Data & AI,APAC,Custom,45,P-25
7-L7IVFTP3G,78,Won,Insurance,No Partner,O365 Cloud Productivity,Japan,"869,098",FF,5,Commercial Enterprise,Modern Workplace,APAC,Custom,71,P-16
7-MNDEK4UNG,92,Won,Insurance,No Partner,O365 Cloud Productivity,Japan,"411,564",FF,5,Commercial Enterprise,Modern Workplace,APAC,Custom,5,P-18
7-LUTBJLXKF,119,Won,Media & Entertainment,No Partner,Azure Security and Identity,Latam,"932,776",FF,4,Commercial Enterprise,Applications & Infrastructure,Latam,Custom,2,P-13
7-O54KQEESP,59,Won,Discrete Manufacturing,No Partner,Azure and Edge Apps,MEA,"217,483",T&M,5,Commercial Enterprise,Applications & Infrastructure,MEA,Custom,7,P-8
7-O5R6Y5DRW,197,Lost,Retailers,No Partner,Windows 10,Australia,"315,372",FF,5,Strategic Enterprise,Modern Workplace,APAC,Custom,17,P-28
7-N47R3MREZ,211,Won,Banking & Capital Markets,No Partner,On Prem Security and Identity,Latam,"955,421",T&M,5,Strategic Enterprise,Applications & Infrastructure,Latam,Full MSO,86,P-21
7-NGBTOX3JN,98,Won,Banking & Capital Markets,No Partner,On Prem Security and Identity,Latam,"21,878",T&M,5,Strategic Enterprise,Applications & Infrastructure,Latam,Custom,76,P-23
7-ODAQUPHOP,203,Won,Banking & Capital Markets,No Partner,Azure Security and Identity,Latam,"295,921",T&M,5,Strategic Enterprise,Applications & Infrastructure,Latam,Custom,20,P-9
7-NLYNCS7QP,82,Lost,Defense & Intelligence,No Partner,Azure Data & AI,APAC,"559,650",T&M,4,Public Sector Enterprise,Data & AI,APAC,Custom,25,P-6
7-N3QESEJX5,281,Won,Banking & Capital Markets,No Partner,EMS,Central and Eastern Europe,"861,275",FF,4,Commercial Enterprise,Modern Workplace,Europe,Custom,45,P-7
7-NJT2VW2KO,136,Lost,Banking & Capital Markets,No Partner,O365 Cloud Productivity,Central and Eastern Europe,"124,634",T&M,4,Commercial Enterprise,Modern Workplace,Europe,Full SO,21,P-20
7-LWZDCHPQK,61,Won,Health Provider,No Partner,On Prem Productivity,France,"992,789",T&M,4,Strategic Public Sector,Modern Workplace,Europe,Custom,48,P-7
7-NXN3NZKVO,137,Lost,Health Provider,No Partner,On Prem Productivity,France,"172,263",T&M Cap,3,Strategic Public Sector,Modern Workplace,Europe,Custom,24,P-11
7-P4ULTVHQ4,43,Lost,Partner Professional Services,No Partner,O365 Cloud Productivity,France,"855,372",FF,4,Commercial Enterprise,Modern Workplace,Europe,Custom,50,P-20
7-OLJ3IDQ4H,215,Won,Partner Professional Services,No Partner,Azure and Edge Apps,France,"150,344",T&M,4,Strategic Enterprise,Applications & Infrastructure,Europe,Mixed MSO/SO,19,P-12
7-MAATZXOGK,227,Lost,Telecommunications,No Partner,On Prem Security and Identity,France,"912,841",Unknown,5,Commercial Enterprise,Applications & Infrastructure,Europe,Mixed Custom/SO/MSO,75,P-13
7-NLRHXMQUS,212,Lost,Banking & Capital Markets,No Partner,Windows 10,France,"458,715",T&M,2,Strategic Enterprise,Modern Workplace,Europe,Custom,48,P-16
7-PTRNDJFF3,153,Won,National Government,No Partner,Windows 10,France,"358,889",T&M Cap,3,Public Sector Enterprise,Modern Workplace,Europe,Custom,60,P-23
7-NOTT7UG6F,65,Lost,National Government,No Partner,On Prem Security and Identity,France,"109,063",FF,3,Public Sector Enterprise,Applications & Infrastructure,Europe,Custom,57,P-23
7-MNNZIFU7D,156,Won,Automotive,No Partner,On Prem Productivity,France,"228,273",FF,5,Strategic Enterprise,Modern Workplace,Europe,Full MSO,67,P-7
7-MWN674NMB,366,Lost,Automotive,No Partner,On Prem Analytics,France,"373,005",T&M,3,Strategic Enterprise,Data & AI,Europe,Custom,73,P-7
7-OPJ2XMMWD,132,Won,Automotive,No Partner,O365 Cloud Productivity,France,"135,239",T&M,5,Strategic Enterprise,Modern Workplace,Europe,Custom,57,P-12
7-N2FR7GL6U,129,Lost,Automotive,No Partner,Azure Data & AI,France,"196,005",T&M,4,Strategic Enterprise,Data & AI,Europe,Custom,79,P-1
7-O3MK2IF3J,106,Lost,Automotive,No Partner,Azure and Edge Apps,France,"91,021",T&M,5,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,74,P-14
7-M4ILHSTBE,159,Won,Discrete Manufacturing,No Partner,Azure and Edge Apps,France,"151,304",T&M,5,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,64,P-6
7-LKEJKFNB7,395,Lost,Travel & Transportation,No Partner,Azure Data & AI,France,"645,765",T&M,3,Strategic Public Sector,Data & AI,Europe,Custom,55,P-8
7-N777RR6DE,331,Lost,Banking & Capital Markets,No Partner,Azure Data & AI,France,"466,120",Mixed,3,Strategic Enterprise,Data & AI,Europe,Custom,67,P-18
7-NWAOSTCMQ,35,Lost,Discrete Manufacturing,No Partner,EMS,Greater China,"653,755",FF,4,Commercial Enterprise,Modern Workplace,APAC,Custom,2,P-6
7-ODYNWMLAA,165,Won,National Government,No Partner,O365 Cloud Productivity,United States,"764,813",T&M,4,Public Sector Enterprise,Modern Workplace,North America,Full SO,33,P-11
7-M4RZBKQ35,119,Lost,Retailers,No Partner,Azure Security and Identity,Western Europe,"585,356",FF,4,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,12,P-1
7-NERSEFUM7,156,Won,Defense & Intelligence,No Partner,Azure Security and Identity,MEA,"50,861",Mixed,2,Public Sector Enterprise,Applications & Infrastructure,MEA,Custom,39,P-6
7-MX2IAORMQ,27,Won,National Government,No Partner,Azure and Edge Apps,United States,"549,811",FF,4,Public Sector Enterprise,Applications & Infrastructure,North America,Custom,2,P-21
7-NGXWXIGFA,41,Lost,Consumer Goods,No Partner,O365 Cloud Productivity,UK,"180,471",FF,5,Commercial Enterprise,Modern Workplace,Europe,Custom,49,P-7
7-NNM5KF5DP,163,Lost,Banking & Capital Markets,No Partner,On Prem Infra,UK,"537,157",T&M,3,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,34,P-18
7-PXXZJFAN7,237,Lost,Banking & Capital Markets,No Partner,Azure and Edge Infra,UK,"205,156",FF,3,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,6,P-12
7-MS4YK2DIT,243,Lost,National Government,No Partner,EMS,Western Europe,"869,952",T&M,5,Public Sector Enterprise,Modern Workplace,Europe,Custom,50,P-23
7-MC3OHVPSX,53,Won,Discrete Manufacturing,No Partner,Azure and Edge Apps,Germany,"137,160",T&M,3,Commercial Enterprise,Applications & Infrastructure,Europe,Custom,9,P-3
7-PIAR6UYJR,210,Lost,Banking & Capital Markets,No Partner,Azure Security and Identity,Latam,"469,035",FF,2,Commercial Enterprise,Applications & Infrastructure,Latam,Mixed Custom/SO/MSO,78,P-1
7-LYZ2HLA7S,146,Lost,Banking & Capital Markets,No Partner,On Prem Infra,Latam,"363,902",T&M,5,Commercial Enterprise,Applications & Infrastructure,Latam,Custom,22,P-5
7-OGI2DSBTN,53,Won,Banking & Capital Markets,No Partner,Azure and Edge Infra,Western Europe,"897,245",T&M,5,"Small, Medium & Corporate Commercial",Applications & Infrastructure,Europe,Custom,11,P-18
7-L2ATZLHZV,133,Lost,Smart Spaces,No Partner,On Prem Analytics,APAC,"310,698",T&M,5,Commercial Enterprise,Data & AI,APAC,Custom,49,P-16
7-OC5TST6XW,71,Lost,Telecommunications,No Partner,Azure and Edge Apps,Western Europe,"951,985",T&M,4,Commercial Enterprise,Applications & Infrastructure,Europe,Custom,9,P-21
7-N26FZRIZM,75,Won,Banking & Capital Markets,No Partner,Other,Western Europe,"563,444",T&M,2,Commercial Enterprise,Unknown,Europe,Custom,31,P-10
7-OYBYLYEHG,123,Won,National Government,No Partner,O365 Cloud Productivity,Western Europe,"98,204",FF,4,Strategic Public Sector,Modern Workplace,Europe,Custom,13,P-1
7-LK75QC6EA,105,Won,Defense & Intelligence,No Partner,DAS,Western Europe,"849,486",T&M,5,Strategic Public Sector,Other,Europe,Custom,77,P-9
7-NHZCGNDMI,38,Lost,Defense & Intelligence,No Partner,Azure and Edge Apps,Western Europe,"427,790",T&M,3,Strategic Public Sector,Applications & Infrastructure,Europe,Mixed Custom/SO/MSO,85,P-16
7-OXALV5LTJ,58,Won,Chemicals & Agrochemicals,Partner,O365 Cloud Productivity,Western Europe,"533,440",T&M,5,Commercial Enterprise,Modern Workplace,Europe,Custom,29,P-12
7-OQAKVOTFP,45,Lost,Chemicals & Agrochemicals,Partner,O365 Cloud Productivity,Western Europe,"255,459",T&M,3,Commercial Enterprise,Modern Workplace,Europe,Mixed Custom/SO/MSO,21,P-7
7-MCZVC5Y6H,351,Lost,National Government,No Partner,On Prem Security and Identity,MEA,"562,847",FF,3,Public Sector Enterprise,Applications & Infrastructure,MEA,Mixed Custom/SO/MSO,71,P-15
7-LNXQZERU5,181,Lost,Insurance,No Partner,O365 Cloud Productivity,United States,"667,426",T&M,5,Commercial Enterprise,Modern Workplace,North America,Custom,14,P-25
7-LF76JOMMO,45,Won,Insurance,No Partner,On Prem Productivity,United States,"164,065",T&M,5,Commercial Enterprise,Modern Workplace,North America,Custom,49,P-17
7-LYZ47G5WK,281,Lost,Defense & Intelligence,No Partner,Windows 10,MEA,"883,267",T&M,4,Public Sector Enterprise,Modern Workplace,MEA,Custom,29,P-14
7-NNJF4ERBX,321,Lost,Banking & Capital Markets,No Partner,Dynamics On Prem CRM,Central and Eastern Europe,"174,044",FF,4,Commercial Enterprise,Business Applications,Europe,Custom,64,P-26
7-OPHSMO2QT,219,Lost,Partner Professional Services,No Partner,Azure Security and Identity,Central and Eastern Europe,"673,715",FF,2,Commercial Enterprise,Applications & Infrastructure,Europe,Mixed Custom/SO/MSO,15,P-20
7-LOJJKLS6S,342,Lost,Travel & Transportation,No Partner,On Prem Apps,Latam,"944,906",T&M,4,Public Sector Enterprise,Applications & Infrastructure,Latam,Custom,6,P-23
7-MRQ3QLSZF,90,Lost,National Government,No Partner,DAS,United States,"431,827",Unknown,5,Public Sector Enterprise,Other,North America,Mixed Custom/SO/MSO,48,P-27
7-OEGNT4LEJ,203,Lost,Local Regional Government,Partner,Azure and Edge Apps,MEA,"801,062",FF,2,Public Sector Enterprise,Applications & Infrastructure,MEA,Mixed Custom/SO/MSO,17,P-20
7-OICMX6G72,257,Lost,Travel & Transportation,No Partner,On Prem Analytics,Western Europe,"829,334",T&M,2,Strategic Enterprise,Data & AI,Europe,Custom,8,P-21
7-NWNBNNAAI,34,Lost,Retailers,No Partner,On Prem Analytics,Western Europe,"425,800",FF,2,Strategic Enterprise,Data & AI,Europe,Custom,29,P-17
7-O75656TPR,83,Won,Retailers,No Partner,On Prem Analytics,Western Europe,"123,884",T&M,5,Strategic Enterprise,Data & AI,Europe,Custom,41,P-19
7-OYYZ7HLHO,310,Lost,Automotive,No Partner,Azure and Edge Apps,Germany,"567,526",T&M Cap,4,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,6,P-7
7-OCVCTOZQL,95,Won,Automotive,No Partner,Azure Data & AI,Germany,"300,531",T&M Cap,3,Strategic Enterprise,Data & AI,Europe,Custom,32,P-10
7-PPW4BPFAM,130,Lost,Automotive,No Partner,Azure Data & AI,Germany,"241,447",T&M,4,Strategic Enterprise,Data & AI,Europe,Custom,28,P-5
7-LGVXHLNZB,254,Lost,Automotive,No Partner,Azure Data & AI,Germany,"79,243",T&M Cap,4,Strategic Enterprise,Data & AI,Europe,Custom,43,P-19
7-N3Z5VHDZJ,114,Lost,Automotive,No Partner,Azure and Edge Apps,Germany,"918,236",T&M,5,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,33,P-2
7-OI5JO545G,176,Lost,Discrete Manufacturing,Partner,O365 Cloud Productivity,Germany,"585,491",FF,3,Strategic Enterprise,Modern Workplace,Europe,Custom,65,P-15
7-LPNWDRYU2,54,Lost,Retailers,No Partner,Azure and Edge Apps,MEA,"682,619",FF,4,Commercial Enterprise,Applications & Infrastructure,MEA,Custom,39,P-26
7-NI2ON2WFP,413,Won,Consumer Goods,No Partner,Azure Data & AI,Latam,"642,108",T&M,2,Commercial Enterprise,Data & AI,Latam,Custom,46,P-2
7-OUED5OHEX,233,Lost,Banking & Capital Markets,No Partner,Azure and Edge Apps,Latam,"43,918",Mixed,3,Commercial Enterprise,Applications & Infrastructure,Latam,Custom,41,P-4
7-LFHPDJY2E,23,Won,Banking & Capital Markets,No Partner,Windows 10,Latam,"852,757",T&M,5,Commercial Enterprise,Modern Workplace,Latam,Custom,33,P-8
7-NQR6I7QZW,178,Won,National Government,No Partner,Windows 10,Western Europe,"601,629",FF,5,Public Sector Enterprise,Modern Workplace,Europe,Custom,45,P-5
7-NXLAYZQDR,64,Lost,Pharmaceuticals,No Partner,Azure Data & AI,Western Europe,"149,945",T&M,5,Commercial Enterprise,Data & AI,Europe,Custom,35,P-3
7-O3UUO5FGS,188,Won,National Government,Partner,Azure and Edge Apps,MEA,"172,803",FF,4,Public Sector Enterprise,Applications & Infrastructure,MEA,Custom,76,P-5
7-P6PTY5SUS,64,Lost,Retailers,No Partner,Dynamics 365 Customer Engagement,Greater China,"715,446",Mixed,5,Commercial Enterprise,Business Applications,APAC,Mixed Custom/SO/MSO,37,P-12
7-PNEGYFPE4,136,Lost,Retailers,No Partner,Dynamics On Prem CRM,Greater China,"476,048",T&M,4,Commercial Enterprise,Business Applications,APAC,Custom,2,P-2
7-LH373ZLYP,105,Lost,Partner Professional Services,No Partner,Azure and Edge Infra,Australia,"581,483",FF,4,Strategic Enterprise,Applications & Infrastructure,APAC,Custom,26,P-5
7-LHMO5JGPU,108,Won,Automotive,No Partner,O365 Cloud Productivity,Western Europe,"845,545",T&M,5,Strategic Enterprise,Modern Workplace,Europe,Custom,44,P-24
7-LHMP7JIZV,145,Lost,Automotive,No Partner,On Prem Analytics,Western Europe,"163,500",FF,5,Strategic Enterprise,Data & AI,Europe,Custom,40,P-15
7-MGMVV7V7G,331,Lost,Insurance,No Partner,Azure Data & AI,Western Europe,"134,397",T&M,3,Commercial Enterprise,Data & AI,Europe,Custom,87,P-1
7-PVTRAJHQN,165,Lost,Energy,Partner,EMS,Canada,"703,842",Mixed,1,Commercial Enterprise,Modern Workplace,North America,Mixed Custom/SO/MSO,88,P-26
7-PXLIUFMDX,77,Lost,Energy,No Partner,Azure and Edge Apps,Canada,"729,867",FF,5,Commercial Enterprise,Applications & Infrastructure,North America,Mixed MSO/SO,11,P-3
7-PHAV3DS44,90,Won,Smart Spaces,No Partner,EMS,Canada,"680,819",Mixed,4,Commercial Enterprise,Modern Workplace,North America,Mixed Custom/SO/MSO,1,P-4
7-L7V6F4K2B,188,Lost,Smart Spaces,No Partner,O365 Cloud Productivity,Canada,"358,116",T&M,5,Commercial Enterprise,Modern Workplace,North America,Custom,62,P-18
7-LZXRYSZSK,206,Won,Telecommunications,No Partner,On Prem Security and Identity,Western Europe,"91,087",FF,4,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,27,P-1
7-LI73KRZXY,50,Lost,Telecommunications,No Partner,O365 Cloud Productivity,Western Europe,"561,671",FF,5,Strategic Enterprise,Modern Workplace,Europe,Custom,34,P-16
7-LPHHBZHAU,239,Won,Telecommunications,No Partner,Azure Security and Identity,Western Europe,"162,879",FF,5,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,21,P-20
7-Q2TEAMF7S,58,Won,Discrete Manufacturing,No Partner,O365 Cloud Productivity,United States,"430,633",Mixed,5,Commercial Enterprise,Modern Workplace,North America,Custom,28,P-24
7-OHYACILWT,110,Won,National Government,No Partner,Dynamics 365 Customer Engagement,MEA,"890,596",FF,3,Public Sector Enterprise,Business Applications,MEA,Custom,87,P-13
7-LXE4CAKOS,60,Won,National Government,No Partner,O365 Cloud Productivity,Western Europe,"330,752",T&M,3,Public Sector Enterprise,Modern Workplace,Europe,Custom,44,P-18
7-OGAGGI4OD,173,Lost,National Government,No Partner,O365 Cloud Productivity,Western Europe,"638,188",T&M Cap,4,Public Sector Enterprise,Modern Workplace,Europe,Custom,9,P-7
7-PDNG3MADV,57,Won,National Government,No Partner,On Prem Data Platform,MEA,"622,613",T&M,4,Public Sector Enterprise,Data & AI,MEA,Custom,65,P-19
7-MYH6DS4PC,71,Lost,Discrete Manufacturing,No Partner,On Prem Security and Identity,MEA,"115,091",FF,4,Commercial Enterprise,Applications & Infrastructure,MEA,Custom,50,P-14
7-LHA76KA6P,219,Lost,National Government,Partner,Dynamics On Prem CRM,United States,"89,148",Unknown,5,Strategic Public Sector,Business Applications,North America,Mixed Custom/SO/MSO,16,P-7
7-PL5R6LMME,149,Won,National Government,Partner,Windows 10,United States,"977,118",T&M,3,Strategic Public Sector,Modern Workplace,North America,Custom,54,P-4
7-NPSENGK2C,252,Lost,Consumer Goods,No Partner,Azure Data & AI,UK,"165,170",FF,5,Commercial Enterprise,Data & AI,Europe,Custom,70,P-19
7-OUQ63Z5UT,105,Won,Consumer Goods,No Partner,Windows 10,UK,"800,531",T&M,5,Commercial Enterprise,Modern Workplace,Europe,Custom,2,P-15
7-LUX5SZBOE,112,Lost,Consumer Goods,Partner,Azure and Edge Infra,UK,"124,821",FF,5,Commercial Enterprise,Applications & Infrastructure,Europe,Custom,7,P-12
7-MPDXEOCRS,45,Lost,Consumer Goods,No Partner,Windows 10,UK,"238,081",Unknown,5,Commercial Enterprise,Modern Workplace,Europe,Mixed Custom/SO/MSO,22,P-24
7-OZLV7RWKZ,91,Lost,Consumer Goods,No Partner,Azure and Edge Infra,UK,"80,300",FF,3,Commercial Enterprise,Applications & Infrastructure,Europe,Mixed Custom/SO/MSO,51,P-9
7-OUJU4RRW2,87,Lost,Energy,No Partner,Azure Security and Identity,MEA,"41,695",T&M,4,Public Sector Enterprise,Applications & Infrastructure,MEA,Custom,83,P-14
7-MA3I66WTR,91,Won,Energy,No Partner,Azure Data & AI,United States,"792,107",T&M,5,Commercial Enterprise,Data & AI,North America,Custom,54,P-25
7-PHMWCB2O2,166,Won,Partner Professional Services,No Partner,O365 Cloud Productivity,India,"108,720",T&M,5,Strategic Enterprise,Modern Workplace,APAC,Custom,46,P-20
7-MRE5SXWEX,247,Lost,Banking & Capital Markets,No Partner,O365 Cloud Productivity,APAC,"80,448",FF,4,Commercial Enterprise,Modern Workplace,APAC,Custom,59,P-11
7-MUDS6GUJC,88,Lost,Banking & Capital Markets,No Partner,O365 Cloud Productivity,APAC,"19,869",FF,4,Commercial Enterprise,Modern Workplace,APAC,Custom,39,P-4
7-P2XSDPPH7,105,Won,Banking & Capital Markets,No Partner,O365 Cloud Productivity,APAC,"456,447",FF,4,Commercial Enterprise,Modern Workplace,APAC,Custom,43,P-25
7-OGNGLTROS,128,Won,Partner Professional Services,No Partner,O365 Cloud Productivity,Western Europe,"365,570",Mixed,4,Commercial Enterprise,Modern Workplace,Europe,Custom,6,P-15
7-NZDATFM4S,31,Lost,National Government,No Partner,O365 Cloud Productivity,Western Europe,"197,752",T&M,5,Public Sector Enterprise,Modern Workplace,Europe,Custom,62,P-25
7-LFG5VEOQA,47,Won,National Government,No Partner,Azure Data & AI,Western Europe,"803,187",T&M,5,Public Sector Enterprise,Data & AI,Europe,Custom,65,P-26
7-NO3AWVGND,45,Lost,Banking & Capital Markets,No Partner,On Prem Productivity,Western Europe,"573,086",T&M,5,Strategic Enterprise,Modern Workplace,Europe,Custom,8,P-19
7-MKSQ7SYNE,227,Lost,Banking & Capital Markets,No Partner,On Prem Analytics,Western Europe,"892,385",FF,5,Strategic Enterprise,Data & AI,Europe,Mixed Custom/SO/MSO,37,P-9
7-MZO2E6GAD,106,Won,Banking & Capital Markets,No Partner,On Prem Infra,Western Europe,"721,890",T&M,5,Commercial Enterprise,Applications & Infrastructure,Europe,Custom,44,P-21
7-LULKSQF6I,220,Lost,Banking & Capital Markets,No Partner,O365 Cloud Productivity,Western Europe,"761,388",Unknown,5,Commercial Enterprise,Modern Workplace,Europe,Mixed Custom/SO/MSO,67,P-3
7-OSTKJIB6C,222,Lost,National Government,No Partner,Azure Security and Identity,Western Europe,"721,399",T&M,4,Strategic Public Sector,Applications & Infrastructure,Europe,Mixed Custom/SO/MSO,39,P-22
7-MO624LWGD,253,Lost,National Government,No Partner,O365 Cloud Productivity,Western Europe,"624,025",Unknown,5,Strategic Public Sector,Modern Workplace,Europe,Mixed Custom/SO/MSO,21,P-6
7-PLHP5X7P2,148,Won,National Government,No Partner,On Prem Security and Identity,Western Europe,"548,110",T&M,5,Strategic Public Sector,Applications & Infrastructure,Europe,Custom,30,P-25
7-OJ7KDN27Y,91,Won,National Government,No Partner,Dynamics 365 Customer Engagement,Western Europe,"992,996",FF,2,Strategic Public Sector,Business Applications,Europe,Custom,76,P-2
